Accounting,المحاسبة,
Accrual Journal Entry for salaries from {0} to {1},مدخل يومية تراكمية للرواتب من {0} إلى {1},
Actions,الإجراءات,
Background Jobs,خلفية عن الخبرات السابقة,
Check Request URL,تحقق من عنوان الرابط المطلوب,
Created Custom Field {0} in {1},إنشاء الحقل المخصص {0} في {1},
Done,تم,
Employee Advances,سلف الموظفين,
Execute,نفذ - اعدم,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Logout,خروج,
Logs,السجلات,
Mandatory,إلزامي,
Please select a Company first.,الرجاء تحديد شركة أولاً.,
Post,بعد,
Reload,تحديث,
Session Defaults,الجلسة الافتراضية,
View Website,مشاهدة الموقع,
